Bundesland;Osterferien;Pfingstferien;Sommerferien;Herbstferien
Baden-Württemberg;06.04 - 18.04;02.06 - 13.06;30.07 - 12.09;26.10 - 30.10, 31.10
Bayern;06.04 - 18.04;02.06 - 13.06;27.07 - 07.09;31.10 - 06.11, 18.11
Berlin;06.04 - 17.04;08.05, 22.05;25.06 - 07.08;12.10 - 24.10
Brandenburg;06.04 - 17.04;;25.06 - 08.08;12.10 - 24.10
Bremen;28.03 - 14.04;22.05;16.07 - 26.08;12.10 - 24.10
Hamburg;02.03 - 13.03;18.05 - 22.05;25.06 - 05.08;05.10 - 16.10
Hessen;06.04 - 18.04;;06.07 - 14.08;05.10 - 17.10
Mecklenburg-Vorpommern;06.04 - 15.04;22.05;22.06 - 01.08;05.10 - 10.10
Niedersachsen;30.03 - 14.04;22.05;16.07 - 26.08;12.10 - 23.10
Nordrhein-Westfalen;06.04 - 18.04;2.06;29.06 - 11.08;12.10 - 24.10
Rheinland-Pfalz;09.04 - 17.04;;06.07 - 14.08;12.10 - 23.10
Saarland;14.04 - 24.04;;06.07 - 14.08;12.10 - 23.10
Sachsen;10.04 - 18.04;22.05;20.07 - 28.08;19.10 - 31.10
Sachsen-Anhalt;06.04 - 11.04;18.05 - 30.05;16.07 - 26.08;19.10 - 24.10
Schleswig-Holstein;30.03 - 17.04;22.05;29.06 - 08.08;05.10 - 17.10
Thüringen;06.04 - 18.04;22.05;20.07 - 29.08;17.10 - 30.10
