,date,R_eff median,R_eff lower bound 95% CI,R_eff upper bound 95% CI
0,2020-02-28,1.2601235519441754,0.5399756756190586,2.60948062857432
1,2020-02-29,1.3207685851388624,0.5452450189899206,2.634419573567606
2,2020-03-01,1.3487563041053798,0.5733632972181986,2.622694147460808
3,2020-03-02,1.376569863359609,0.5942828882518567,2.741341241828531
4,2020-03-03,1.3989648963192183,0.5948750485842734,2.799402264844948
5,2020-03-04,1.4360582555793289,0.5781688462895901,2.8196678864417297
6,2020-03-05,1.459742036622282,0.5862414107808511,2.8641189210757734
7,2020-03-06,1.4985760505526287,0.6397622112526488,2.89641614696362
8,2020-03-07,1.5471134590339588,0.6901084446838387,2.884275027180328
9,2020-03-08,1.5883483130107683,0.758558258534896,2.9796317653318543
10,2020-03-09,1.6327002576458411,0.8200416992133799,3.1155806978610383
11,2020-03-10,1.6997514691493518,0.8042323698451486,3.2276845181361415
12,2020-03-11,1.7228063607414947,0.7586026755407828,3.489032221254802
13,2020-03-12,1.7895999092363408,0.7358407616098307,3.594932475342871
14,2020-03-13,1.8257008490646112,0.7292519557766093,3.7603127170234774
15,2020-03-14,1.9022924204367322,0.7439506603759858,3.856022738603563
16,2020-03-15,1.9622471960714534,0.831681213823755,3.9321965936957284
17,2020-03-16,2.0457429653858243,0.9266789122953418,3.969665821570073
18,2020-03-17,2.1381120382696075,1.0551089458517569,4.005410117847081
19,2020-03-18,2.2559983984300636,1.1723430249983964,3.9698932606047
20,2020-03-19,2.31130636567221,1.3705005519002176,3.9243410449325506
21,2020-03-20,2.361775005558706,1.52746728627025,3.7765861313810207
22,2020-03-21,2.3920114645985615,1.5993132992163241,3.7543014828294834
23,2020-03-22,2.401500604455146,1.5857544775912154,3.7733936366237733
24,2020-03-23,2.387668315387927,1.480851140479312,3.7062004277689744
25,2020-03-24,2.358760996429561,1.3328361026800144,3.519859843689714
26,2020-03-25,2.2932523298195937,1.1480706066204802,3.450642028860379
27,2020-03-26,2.1873026964270226,1.0490112770607891,3.2707560705083107
28,2020-03-27,2.0215859095903346,0.948058057906282,3.0386718487629354
29,2020-03-28,1.8087277347476864,0.8678105737751888,2.6679550793186513
30,2020-03-29,1.5622342478132505,0.8148057361982138,2.3981955649438715
31,2020-03-30,1.3155869073532775,0.7571760155769429,2.1771395427250617
32,2020-03-31,1.1669801099043242,0.6914691990214479,1.8718462556736473
33,2020-04-01,1.0612166348848628,0.6371122672168041,1.6244897987052533
34,2020-04-02,0.9882884238190828,0.6148683038852272,1.4797051187846357
