,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
risk_C[28],0.41,0.01,0.4,0.42,0.0,0.0,89.28,568.37,1.08
risk_C[29],0.44,0.02,0.42,0.48,0.0,0.0,19.25,609.7,1.15
risk_C[30],0.51,0.03,0.47,0.57,0.0,0.0,43.33,582.44,1.08
risk_C[31],0.62,0.05,0.55,0.72,0.0,0.0,187.02,568.02,1.16
risk_C[32],0.75,0.06,0.64,0.85,0.0,0.0,401.23,568.37,1.53
risk_C[33],0.83,0.06,0.71,0.9,0.01,0.01,21.41,417.96,1.15
risk_C[34],0.86,0.05,0.76,0.91,0.01,0.01,11.74,376.45,1.29
risk_C[35],0.88,0.04,0.79,0.91,0.01,0.0,7.99,325.97,1.54
risk_C[36],0.89,0.03,0.81,0.91,0.01,0.0,8.03,345.83,1.54
d_C[0],0.77,0.16,0.49,0.88,0.08,0.06,7.0,13.0,1.61
d_C[1],0.74,0.19,0.42,0.87,0.09,0.07,6.93,13.0,1.61
d_C[2],0.73,0.2,0.38,0.86,0.1,0.08,6.98,13.0,1.61
d_C[3],0.73,0.21,0.37,0.86,0.1,0.08,7.06,13.0,1.6
d_C[4],0.74,0.19,0.41,0.87,0.09,0.07,7.11,13.0,1.6
d_C[5],0.76,0.18,0.45,0.88,0.09,0.07,7.15,13.0,1.61
d_C[6],0.77,0.17,0.48,0.89,0.08,0.06,7.19,13.0,1.61
d_C[7],0.78,0.16,0.5,0.89,0.08,0.06,7.23,13.0,1.61
d_C[8],0.79,0.16,0.51,0.9,0.08,0.06,7.25,13.0,1.61
d_C[9],0.79,0.16,0.52,0.9,0.08,0.06,7.26,13.0,1.61
d_C[10],0.79,0.16,0.52,0.9,0.08,0.06,7.25,13.0,1.61
d_C[11],0.8,0.16,0.52,0.9,0.08,0.06,7.25,13.0,1.61
d_C[12],0.8,0.16,0.53,0.9,0.08,0.06,7.24,13.0,1.61
d_C[13],0.8,0.16,0.53,0.9,0.08,0.06,7.22,13.0,1.61
d_C[14],0.79,0.16,0.52,0.9,0.08,0.06,7.21,13.0,1.61
d_C[15],0.8,0.16,0.52,0.9,0.08,0.06,7.21,13.0,1.61
d_C[16],0.8,0.16,0.53,0.9,0.08,0.06,7.21,13.0,1.61
d_C[17],0.8,0.16,0.53,0.9,0.08,0.06,7.2,13.0,1.61
d_C[18],0.8,0.16,0.52,0.9,0.08,0.06,7.18,13.0,1.61
d_C[19],0.79,0.16,0.52,0.9,0.08,0.06,7.17,13.0,1.61
d_C[20],0.79,0.16,0.51,0.9,0.08,0.06,7.16,13.0,1.61
d_C[21],0.79,0.16,0.51,0.89,0.08,0.06,7.14,13.0,1.61
d_C[22],0.78,0.17,0.5,0.89,0.08,0.06,7.13,13.0,1.61
d_C[23],0.78,0.17,0.49,0.89,0.08,0.06,7.13,13.0,1.61
d_C[24],0.78,0.17,0.49,0.89,0.08,0.06,7.14,13.0,1.61
d_C[25],0.78,0.17,0.49,0.89,0.08,0.06,7.14,13.0,1.61
d_C[26],0.78,0.17,0.49,0.89,0.08,0.06,7.12,13.0,1.61
d_C[27],0.77,0.17,0.48,0.89,0.08,0.06,7.11,13.0,1.61
d_C[28],0.77,0.17,0.47,0.88,0.08,0.06,7.08,13.0,1.61
d_C[29],0.76,0.18,0.45,0.87,0.09,0.07,6.97,13.0,1.61
d_C[30],0.73,0.19,0.4,0.86,0.09,0.07,6.95,13.0,1.61
d_C[31],0.69,0.21,0.33,0.83,0.1,0.08,6.98,13.0,1.61
d_C[32],0.64,0.23,0.24,0.8,0.11,0.09,6.99,13.0,1.6
d_C[33],0.62,0.24,0.2,0.78,0.12,0.09,6.99,13.0,1.6
d_C[34],0.61,0.24,0.19,0.77,0.12,0.09,7.0,13.0,1.6
d_C[35],0.6,0.24,0.18,0.77,0.12,0.09,6.99,13.0,1.6
d_C[36],0.6,0.24,0.18,0.76,0.12,0.09,6.97,13.0,1.6
s[0],0.91,0.07,0.79,0.97,0.03,0.03,7.06,19.98,1.59
s[1],0.91,0.07,0.79,0.97,0.03,0.03,7.06,19.98,1.59
s[2],0.91,0.07,0.79,0.97,0.03,0.03,7.06,19.98,1.59
s[3],0.94,0.05,0.85,0.98,0.02,0.02,7.06,19.98,1.59
s[4],0.94,0.05,0.85,0.98,0.02,0.02,7.06,19.98,1.59
s[5],0.99,0.01,0.98,1.0,0.0,0.0,7.06,19.98,1.59
s[6],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[7],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[8],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[9],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[10],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[11],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[12],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[13],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[14],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[15],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[16],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[17],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[18],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[19],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[20],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[21],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[22],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[23],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[24],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[25],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[26],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[27],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[28],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[29],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[30],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[31],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[32],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[33],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
