date,federalState,schoolVacation,population
2020-02-23,Berlin,0,3755251
2020-02-23,Brandenburg,0,2573135
2020-02-23,Bremen,0,684864
2020-02-23,Hamburg,0,1892122
2020-02-23,Hessen,0,6391360
2020-02-23,Mecklenburg-Vorpommern,5,1628378
2020-02-23,Niedersachsen,0,8140242
2020-02-23,Nordrhein-Westfalen,0,18139116
2020-02-23,Rheinland-Pfalz,5,4158150
2020-02-23,Saarland,5,992666
2020-02-23,Sachsen,5,4086152
2020-02-23,Sachsen-Anhalt,0,2186643
2020-02-23,Schleswig-Holstein,0,2953270
2020-02-23,Thüringen,0,2126836
2020-03-01,Baden-Württemberg,0,11280257
2020-03-01,Bayern,5,13369393
2020-03-01,Berlin,0,3755251
2020-03-01,Brandenburg,0,2573135
2020-03-01,Bremen,0,684864
2020-03-01,Hamburg,0,1892122
2020-03-01,Hessen,0,6391360
2020-03-01,Mecklenburg-Vorpommern,0,1628378
2020-03-01,Niedersachsen,0,8140242
2020-03-01,Nordrhein-Westfalen,0,18139116
2020-03-01,Rheinland-Pfalz,0,4158150
2020-03-01,Saarland,2,992666
2020-03-01,Sachsen,0,4086152
2020-03-01,Sachsen-Anhalt,0,2186643
2020-03-01,Schleswig-Holstein,0,2953270
2020-03-01,Thüringen,0,2126836
2020-03-08,Baden-Württemberg,0,11280257
2020-03-08,Bayern,0,13369393
2020-03-08,Berlin,0,3755251
2020-03-08,Brandenburg,0,2573135
2020-03-08,Bremen,0,684864
2020-03-08,Hamburg,5,1892122
2020-03-08,Hessen,0,6391360
2020-03-08,Mecklenburg-Vorpommern,0,1628378
2020-03-08,Niedersachsen,0,8140242
2020-03-08,Nordrhein-Westfalen,0,18139116
2020-03-08,Rheinland-Pfalz,0,4158150
2020-03-08,Saarland,0,992666
2020-03-08,Sachsen,0,4086152
2020-03-08,Sachsen-Anhalt,0,2186643
2020-03-08,Schleswig-Holstein,0,2953270
2020-03-08,Thüringen,0,2126836
2020-03-15,Baden-Württemberg,0,11280257
2020-03-15,Bayern,0,13369393
2020-03-15,Berlin,0,3755251
2020-03-15,Brandenburg,0,2573135
2020-03-15,Bremen,0,684864
2020-03-15,Hamburg,5,1892122
2020-03-15,Hessen,0,6391360
2020-03-15,Mecklenburg-Vorpommern,0,1628378
2020-03-15,Niedersachsen,0,8140242
2020-03-15,Nordrhein-Westfalen,0,18139116
2020-03-15,Rheinland-Pfalz,0,4158150
2020-03-15,Saarland,0,992666
2020-03-15,Sachsen,0,4086152
2020-03-15,Sachsen-Anhalt,0,2186643
2020-03-15,Schleswig-Holstein,0,2953270
2020-03-15,Thüringen,0,2126836
2020-03-22,Baden-Württemberg,0,11280257
2020-03-22,Bayern,0,13369393
2020-03-22,Berlin,0,3755251
2020-03-22,Brandenburg,0,2573135
2020-03-22,Bremen,0,684864
2020-03-22,Hamburg,0,1892122
2020-03-22,Hessen,0,6391360
2020-03-22,Mecklenburg-Vorpommern,0,1628378
2020-03-22,Niedersachsen,0,8140242
2020-03-22,Nordrhein-Westfalen,0,18139116
2020-03-22,Rheinland-Pfalz,0,4158150
2020-03-22,Saarland,0,992666
2020-03-22,Sachsen,0,4086152
2020-03-22,Sachsen-Anhalt,0,2186643
2020-03-22,Schleswig-Holstein,0,2953270
2020-03-22,Thüringen,0,2126836
2020-03-29,Baden-Württemberg,0,11280257
2020-03-29,Bayern,0,13369393
2020-03-29,Berlin,0,3755251
2020-03-29,Brandenburg,0,2573135
2020-03-29,Bremen,2,684864
2020-03-29,Hamburg,0,1892122
2020-03-29,Hessen,0,6391360
2020-03-29,Mecklenburg-Vorpommern,0,1628378
2020-03-29,Niedersachsen,0,8140242
2020-03-29,Nordrhein-Westfalen,0,18139116
2020-03-29,Rheinland-Pfalz,0,4158150
2020-03-29,Saarland,0,992666
2020-03-29,Sachsen,0,4086152
2020-03-29,Sachsen-Anhalt,0,2186643
2020-03-29,Schleswig-Holstein,0,2953270
2020-03-29,Thüringen,0,2126836
2020-04-05,Baden-Württemberg,0,11280257
2020-04-05,Bayern,0,13369393
2020-04-05,Berlin,0,3755251
2020-04-05,Brandenburg,0,2573135
2020-04-05,Bremen,5,684864
2020-04-05,Hamburg,0,1892122
2020-04-05,Hessen,0,6391360
2020-04-05,Mecklenburg-Vorpommern,0,1628378
2020-04-05,Niedersachsen,5,8140242
2020-04-05,Nordrhein-Westfalen,0,18139116
2020-04-05,Rheinland-Pfalz,0,4158150
2020-04-05,Saarland,0,992666
2020-04-05,Sachsen,0,4086152
2020-04-05,Sachsen-Anhalt,0,2186643
2020-04-05,Schleswig-Holstein,5,2953270
2020-04-05,Thüringen,0,2126836
2020-04-12,Baden-Württemberg,5,11280257
2020-04-12,Bayern,5,13369393
2020-04-12,Berlin,5,3755251
2020-04-12,Brandenburg,5,2573135
2020-04-12,Bremen,5,684864
2020-04-12,Hamburg,0,1892122
2020-04-12,Hessen,5,6391360
2020-04-12,Mecklenburg-Vorpommern,5,1628378
2020-04-12,Niedersachsen,5,8140242
2020-04-12,Nordrhein-Westfalen,5,18139116
2020-04-12,Rheinland-Pfalz,4,4158150
2020-04-12,Saarland,0,992666
2020-04-12,Sachsen,3,4086152
2020-04-12,Sachsen-Anhalt,5,2186643
2020-04-12,Schleswig-Holstein,5,2953270
2020-04-12,Thüringen,5,2126836
2020-04-19,Baden-Württemberg,5,11280257
2020-04-19,Bayern,5,13369393
2020-04-19,Berlin,5,3755251
2020-04-19,Brandenburg,5,2573135
2020-04-19,Bremen,2,684864
2020-04-19,Hamburg,0,1892122
2020-04-19,Hessen,5,6391360
2020-04-19,Mecklenburg-Vorpommern,3,1628378
2020-04-19,Niedersachsen,2,8140242
2020-04-19,Nordrhein-Westfalen,5,18139116
2020-04-19,Rheinland-Pfalz,5,4158150
2020-04-19,Saarland,5,992666
2020-04-19,Sachsen,5,4086152
2020-04-19,Sachsen-Anhalt,0,2186643
2020-04-19,Schleswig-Holstein,5,2953270
2020-04-19,Thüringen,5,2126836
2020-04-26,Baden-Württemberg,0,11280257
2020-04-26,Bayern,0,13369393
2020-04-26,Berlin,0,3755251
2020-04-26,Brandenburg,0,2573135
2020-04-26,Bremen,0,684864
2020-04-26,Hamburg,0,1892122
2020-04-26,Hessen,0,6391360
2020-04-26,Mecklenburg-Vorpommern,0,1628378
2020-04-26,Niedersachsen,0,8140242
2020-04-26,Nordrhein-Westfalen,0,18139116
2020-04-26,Rheinland-Pfalz,0,4158150
2020-04-26,Saarland,5,992666
2020-04-26,Sachsen,0,4086152
2020-04-26,Sachsen-Anhalt,0,2186643
2020-04-26,Schleswig-Holstein,0,2953270
2020-04-26,Thüringen,0,2126836
2020-05-03,Baden-Württemberg,0,11280257
2020-05-03,Bayern,0,13369393
2020-05-03,Berlin,0,3755251
2020-05-03,Brandenburg,0,2573135
2020-05-03,Bremen,0,684864
2020-05-03,Hamburg,0,1892122
2020-05-03,Hessen,0,6391360
2020-05-03,Mecklenburg-Vorpommern,0,1628378
2020-05-03,Niedersachsen,0,8140242
2020-05-03,Nordrhein-Westfalen,0,18139116
2020-05-03,Rheinland-Pfalz,0,4158150
2020-05-03,Saarland,0,992666
2020-05-03,Sachsen,0,4086152
2020-05-03,Sachsen-Anhalt,0,2186643
2020-05-03,Schleswig-Holstein,0,2953270
2020-05-03,Thüringen,0,2126836
2020-05-10,Baden-Württemberg,0,11280257
2020-05-10,Bayern,0,13369393
2020-05-10,Berlin,1,3755251
2020-05-10,Brandenburg,0,2573135
2020-05-10,Bremen,0,684864
2020-05-10,Hamburg,0,1892122
2020-05-10,Hessen,0,6391360
2020-05-10,Mecklenburg-Vorpommern,0,1628378
2020-05-10,Niedersachsen,0,8140242
2020-05-10,Nordrhein-Westfalen,0,18139116
2020-05-10,Rheinland-Pfalz,0,4158150
2020-05-10,Saarland,0,992666
2020-05-10,Sachsen,0,4086152
2020-05-10,Sachsen-Anhalt,0,2186643
2020-05-10,Schleswig-Holstein,0,2953270
2020-05-10,Thüringen,0,2126836
2020-05-17,Baden-Württemberg,0,11280257
2020-05-17,Bayern,0,13369393
2020-05-17,Berlin,0,3755251
2020-05-17,Brandenburg,0,2573135
2020-05-17,Bremen,0,684864
2020-05-17,Hamburg,0,1892122
2020-05-17,Hessen,0,6391360
2020-05-17,Mecklenburg-Vorpommern,0,1628378
2020-05-17,Niedersachsen,0,8140242
2020-05-17,Nordrhein-Westfalen,0,18139116
2020-05-17,Rheinland-Pfalz,0,4158150
2020-05-17,Saarland,0,992666
2020-05-17,Sachsen,0,4086152
2020-05-17,Sachsen-Anhalt,0,2186643
2020-05-17,Schleswig-Holstein,0,2953270
2020-05-17,Thüringen,0,2126836
2020-05-24,Baden-Württemberg,0,11280257
2020-05-24,Bayern,0,13369393
2020-05-24,Berlin,1,3755251
2020-05-24,Brandenburg,0,2573135
2020-05-24,Bremen,1,684864
2020-05-24,Hamburg,5,1892122
2020-05-24,Hessen,0,6391360
2020-05-24,Mecklenburg-Vorpommern,1,1628378
2020-05-24,Niedersachsen,1,8140242
2020-05-24,Nordrhein-Westfalen,0,18139116
2020-05-24,Rheinland-Pfalz,0,4158150
2020-05-24,Saarland,0,992666
2020-05-24,Sachsen,1,4086152
2020-05-24,Sachsen-Anhalt,5,2186643
2020-05-24,Schleswig-Holstein,1,2953270
2020-05-24,Thüringen,1,2126836
2020-05-31,Baden-Württemberg,0,11280257
2020-05-31,Bayern,0,13369393
2020-05-31,Berlin,0,3755251
2020-05-31,Brandenburg,0,2573135
2020-05-31,Bremen,0,684864
