date,country,EinwohnerInnen,Share,AreaInKm2,EwinohnerInnenJeKm2
2020-07-26,Hamburg,1841179,2.2,755,2438
2020-07-26,Mecklenburg-Vorpommern,1609675,1.9,23295,69
2020-07-26,Saarland,990509,1.2,2571,385
2020-07-26,Bremen,682986,0.8,419,1629
2020-07-26,Deutschland,83019213,100,357582,232
2020-08-02,Nordrhein-Westfalen,17932651,21.60,34112,526
2020-08-02,Bayern,13076721,15.8,70542,185
2020-08-02,Baden-Württemberg,11069533,13.3,35748,310
2020-08-02,Niedersachsen,7982448,9.6,47710,167
2020-08-02,Hessen,6265809,7.5,21116,297
2020-08-02,Rheinland-Pfalz,4084844,4.9,19858,206
2020-08-02,Sachsen,4077937,4.9,18450,221
2020-08-02,Berlin,3644826,4.4,891,4090
2020-08-02,Schleswig-Holstein,2896712,3.5,15804,183
2020-08-02,Brandenburg,2511917,3,29654,85
2020-08-02,Sachsen-Anhalt,2208321,2.7,20454,109
2020-08-02,Thüringen,2143145,2.6,16202,132
2020-08-02,Hamburg,1841179,2.2,755,2438
2020-08-02,Mecklenburg-Vorpommern,1609675,1.9,23295,69
2020-08-02,Saarland,990509,1.2,2571,385
2020-08-02,Bremen,682986,0.8,419,1629
2020-08-02,Deutschland,83019213,100,357582,232
2020-08-09,Nordrhein-Westfalen,17932651,21.60,34112,526
2020-08-09,Bayern,13076721,15.8,70542,185
2020-08-09,Baden-Württemberg,11069533,13.3,35748,310
2020-08-09,Niedersachsen,7982448,9.6,47710,167
2020-08-09,Hessen,6265809,7.5,21116,297
2020-08-09,Rheinland-Pfalz,4084844,4.9,19858,206
2020-08-09,Sachsen,4077937,4.9,18450,221
2020-08-09,Berlin,3644826,4.4,891,4090
2020-08-09,Schleswig-Holstein,2896712,3.5,15804,183
2020-08-09,Brandenburg,2511917,3,29654,85
2020-08-09,Sachsen-Anhalt,2208321,2.7,20454,109
2020-08-09,Thüringen,2143145,2.6,16202,132
2020-08-09,Hamburg,1841179,2.2,755,2438
2020-08-09,Mecklenburg-Vorpommern,1609675,1.9,23295,69
2020-08-09,Saarland,990509,1.2,2571,385
2020-08-09,Bremen,682986,0.8,419,1629
2020-08-09,Deutschland,83019213,100,357582,232
2020-08-16,Nordrhein-Westfalen,17932651,21.60,34112,526
2020-08-16,Bayern,13076721,15.8,70542,185
2020-08-16,Baden-Württemberg,11069533,13.3,35748,310
2020-08-16,Niedersachsen,7982448,9.6,47710,167
2020-08-16,Hessen,6265809,7.5,21116,297
2020-08-16,Rheinland-Pfalz,4084844,4.9,19858,206
2020-08-16,Sachsen,4077937,4.9,18450,221
2020-08-16,Berlin,3644826,4.4,891,4090
2020-08-16,Schleswig-Holstein,2896712,3.5,15804,183
2020-08-16,Brandenburg,2511917,3,29654,85
2020-08-16,Sachsen-Anhalt,2208321,2.7,20454,109
2020-08-16,Thüringen,2143145,2.6,16202,132
2020-08-16,Hamburg,1841179,2.2,755,2438
2020-08-16,Mecklenburg-Vorpommern,1609675,1.9,23295,69
2020-08-16,Saarland,990509,1.2,2571,385
2020-08-16,Bremen,682986,0.8,419,1629
2020-08-16,Deutschland,83019213,100,357582,232
2020-08-23,Nordrhein-Westfalen,17932651,21.60,34112,526
2020-08-23,Bayern,13076721,15.8,70542,185
2020-08-23,Baden-Württemberg,11069533,13.3,35748,310
2020-08-23,Niedersachsen,7982448,9.6,47710,167
2020-08-23,Hessen,6265809,7.5,21116,297
2020-08-23,Rheinland-Pfalz,4084844,4.9,19858,206
2020-08-23,Sachsen,4077937,4.9,18450,221
2020-08-23,Berlin,3644826,4.4,891,4090
2020-08-23,Schleswig-Holstein,2896712,3.5,15804,183
2020-08-23,Brandenburg,2511917,3,29654,85
2020-08-23,Sachsen-Anhalt,2208321,2.7,20454,109
2020-08-23,Thüringen,2143145,2.6,16202,132
2020-08-23,Hamburg,1841179,2.2,755,2438
2020-08-23,Mecklenburg-Vorpommern,1609675,1.9,23295,69
2020-08-23,Saarland,990509,1.2,2571,385
2020-08-23,Bremen,682986,0.8,419,1629
2020-08-23,Deutschland,83019213,100,357582,232
2020-08-30,Nordrhein-Westfalen,17932651,21.60,34112,526
2020-08-30,Bayern,13076721,15.8,70542,185
2020-08-30,Baden-Württemberg,11069533,13.3,35748,310
2020-08-30,Niedersachsen,7982448,9.6,47710,167
2020-08-30,Hessen,6265809,7.5,21116,297
2020-08-30,Rheinland-Pfalz,4084844,4.9,19858,206
2020-08-30,Sachsen,4077937,4.9,18450,221
2020-08-30,Berlin,3644826,4.4,891,4090
2020-08-30,Schleswig-Holstein,2896712,3.5,15804,183
2020-08-30,Brandenburg,2511917,3,29654,85
2020-08-30,Sachsen-Anhalt,2208321,2.7,20454,109
2020-08-30,Thüringen,2143145,2.6,16202,132
2020-08-30,Hamburg,1841179,2.2,755,2438
2020-08-30,Mecklenburg-Vorpommern,1609675,1.9,23295,69
2020-08-30,Saarland,990509,1.2,2571,385
2020-08-30,Bremen,682986,0.8,419,1629
2020-08-30,Deutschland,83019213,100,357582,232
2020-09-06,Nordrhein-Westfalen,17932651,21.60,34112,526
2020-09-06,Bayern,13076721,15.8,70542,185
2020-09-06,Baden-Württemberg,11069533,13.3,35748,310
2020-09-06,Niedersachsen,7982448,9.6,47710,167
2020-09-06,Hessen,6265809,7.5,21116,297
2020-09-06,Rheinland-Pfalz,4084844,4.9,19858,206
2020-09-06,Sachsen,4077937,4.9,18450,221
2020-09-06,Berlin,3644826,4.4,891,4090
2020-09-06,Schleswig-Holstein,2896712,3.5,15804,183
2020-09-06,Brandenburg,2511917,3,29654,85
2020-09-06,Sachsen-Anhalt,2208321,2.7,20454,109
2020-09-06,Thüringen,2143145,2.6,16202,132
2020-09-06,Hamburg,1841179,2.2,755,2438
2020-09-06,Mecklenburg-Vorpommern,1609675,1.9,23295,69
2020-09-06,Saarland,990509,1.2,2571,385
2020-09-06,Bremen,682986,0.8,419,1629
2020-09-06,Deutschland,83019213,100,357582,232
2020-09-13,Nordrhein-Westfalen,17932651,21.60,34112,526
2020-09-13,Bayern,13076721,15.8,70542,185
2020-09-13,Baden-Württemberg,11069533,13.3,35748,310
2020-09-13,Niedersachsen,7982448,9.6,47710,167
2020-09-13,Hessen,6265809,7.5,21116,297
2020-09-13,Rheinland-Pfalz,4084844,4.9,19858,206
2020-09-13,Sachsen,4077937,4.9,18450,221
2020-09-13,Berlin,3644826,4.4,891,4090
2020-09-13,Schleswig-Holstein,2896712,3.5,15804,183
2020-09-13,Brandenburg,2511917,3,29654,85
2020-09-13,Sachsen-Anhalt,2208321,2.7,20454,109
2020-09-13,Thüringen,2143145,2.6,16202,132
2020-09-13,Hamburg,1841179,2.2,755,2438
2020-09-13,Mecklenburg-Vorpommern,1609675,1.9,23295,69
2020-09-13,Saarland,990509,1.2,2571,385
2020-09-13,Bremen,682986,0.8,419,1629
2020-09-13,Deutschland,83019213,100,357582,232
2020-09-20,Nordrhein-Westfalen,17932651,21.60,34112,526
2020-09-20,Bayern,13076721,15.8,70542,185
2020-09-20,Baden-Württemberg,11069533,13.3,35748,310
2020-09-20,Niedersachsen,7982448,9.6,47710,167
2020-09-20,Hessen,6265809,7.5,21116,297
2020-09-20,Rheinland-Pfalz,4084844,4.9,19858,206
2020-09-20,Sachsen,4077937,4.9,18450,221
2020-09-20,Berlin,3644826,4.4,891,4090
2020-09-20,Schleswig-Holstein,2896712,3.5,15804,183
2020-09-20,Brandenburg,2511917,3,29654,85
2020-09-20,Sachsen-Anhalt,2208321,2.7,20454,109
2020-09-20,Thüringen,2143145,2.6,16202,132
2020-09-20,Hamburg,1841179,2.2,755,2438
2020-09-20,Mecklenburg-Vorpommern,1609675,1.9,23295,69
2020-09-20,Saarland,990509,1.2,2571,385
2020-09-20,Bremen,682986,0.8,419,1629
2020-09-20,Deutschland,83019213,100,357582,232
2020-09-27,Nordrhein-Westfalen,17932651,21.60,34112,526
2020-09-27,Bayern,13076721,15.8,70542,185
2020-09-27,Baden-Württemberg,11069533,13.3,35748,310
2020-09-27,Niedersachsen,7982448,9.6,47710,167
2020-09-27,Hessen,6265809,7.5,21116,297
2020-09-27,Rheinland-Pfalz,4084844,4.9,19858,206
2020-09-27,Sachsen,4077937,4.9,18450,221
2020-09-27,Berlin,3644826,4.4,891,4090
2020-09-27,Schleswig-Holstein,2896712,3.5,15804,183
2020-09-27,Brandenburg,2511917,3,29654,85
2020-09-27,Sachsen-Anhalt,2208321,2.7,20454,109
2020-09-27,Thüringen,2143145,2.6,16202,132
2020-09-27,Hamburg,1841179,2.2,755,2438
2020-09-27,Mecklenburg-Vorpommern,1609675,1.9,23295,69
2020-09-27,Saarland,990509,1.2,2571,385
2020-09-27,Bremen,682986,0.8,419,1629
2020-09-27,Deutschland,83019213,100,357582,232
2020-10-04,Nordrhein-Westfalen,17932651,21.60,34112,526
2020-10-04,Bayern,13076721,15.8,70542,185
2020-10-04,Baden-Württemberg,11069533,13.3,35748,310
2020-10-04,Niedersachsen,7982448,9.6,47710,167
2020-10-04,Hessen,6265809,7.5,21116,297
2020-10-04,Rheinland-Pfalz,4084844,4.9,19858,206
2020-10-04,Sachsen,4077937,4.9,18450,221
2020-10-04,Berlin,3644826,4.4,891,4090
2020-10-04,Schleswig-Holstein,2896712,3.5,15804,183
2020-10-04,Brandenburg,2511917,3,29654,85
2020-10-04,Sachsen-Anhalt,2208321,2.7,20454,109
2020-10-04,Thüringen,2143145,2.6,16202,132
2020-10-04,Hamburg,1841179,2.2,755,2438
2020-10-04,Mecklenburg-Vorpommern,1609675,1.9,23295,69
2020-10-04,Saarland,990509,1.2,2571,385
2020-10-04,Bremen,682986,0.8,419,1629
2020-10-04,Deutschland,83019213,100,357582,232
2020-10-11,Nordrhein-Westfalen,17932651,21.60,34112,526
2020-10-11,Bayern,13076721,15.8,70542,185
2020-10-11,Baden-Württemberg,11069533,13.3,35748,310
2020-10-11,Niedersachsen,7982448,9.6,47710,167
2020-10-11,Hessen,6265809,7.5,21116,297
2020-10-11,Rheinland-Pfalz,4084844,4.9,19858,206
2020-10-11,Sachsen,4077937,4.9,18450,221
2020-10-11,Berlin,3644826,4.4,891,4090
2020-10-11,Schleswig-Holstein,2896712,3.5,15804,183
2020-10-11,Brandenburg,2511917,3,29654,85
2020-10-11,Sachsen-Anhalt,2208321,2.7,20454,109
2020-10-11,Thüringen,2143145,2.6,16202,132
2020-10-11,Hamburg,1841179,2.2,755,2438
2020-10-11,Mecklenburg-Vorpommern,1609675,1.9,23295,69
2020-10-11,Saarland,990509,1.2,2571,385
2020-10-11,Bremen,682986,0.8,419,1629
2020-10-11,Deutschland,83019213,100,357582,232
2020-10-18,Nordrhein-Westfalen,17932651,21.60,34112,526
2020-10-18,Bayern,13076721,15.8,70542,185
2020-10-18,Baden-Württemberg,11069533,13.3,35748,310
2020-10-18,Niedersachsen,7982448,9.6,47710,167
2020-10-18,Hessen,6265809,7.5,21116,297
2020-10-18,Rheinland-Pfalz,4084844,4.9,19858,206
2020-10-18,Sachsen,4077937,4.9,18450,221
2020-10-18,Berlin,3644826,4.4,891,4090
2020-10-18,Schleswig-Holstein,2896712,3.5,15804,183
2020-10-18,Brandenburg,2511917,3,29654,85
2020-10-18,Sachsen-Anhalt,2208321,2.7,20454,109
2020-10-18,Thüringen,2143145,2.6,16202,132
2020-10-18,Hamburg,1841179,2.2,755,2438
2020-10-18,Mecklenburg-Vorpommern,1609675,1.9,23295,69
2020-10-18,Saarland,990509,1.2,2571,385
2020-10-18,Bremen,682986,0.8,419,1629
2020-10-18,Deutschland,83019213,100,357582,232
2020-10-25,Nordrhein-Westfalen,17932651,21.60,34112,526
2020-10-25,Bayern,13076721,15.8,70542,185
2020-10-25,Baden-Württemberg,11069533,13.3,35748,310
2020-10-25,Niedersachsen,7982448,9.6,47710,167
2020-10-25,Hessen,6265809,7.5,21116,297
2020-10-25,Rheinland-Pfalz,4084844,4.9,19858,206
2020-10-25,Sachsen,4077937,4.9,18450,221
2020-10-25,Berlin,3644826,4.4,891,4090
2020-10-25,Schleswig-Holstein,2896712,3.5,15804,183
2020-10-25,Brandenburg,2511917,3,29654,85
2020-10-25,Sachsen-Anhalt,2208321,2.7,20454,109
2020-10-25,Thüringen,2143145,2.6,16202,132
2020-10-25,Hamburg,1841179,2.2,755,2438
2020-10-25,Mecklenburg-Vorpommern,1609675,1.9,23295,69
2020-10-25,Saarland,990509,1.2,2571,385
2020-10-25,Bremen,682986,0.8,419,1629
2020-10-25,Deutschland,83019213,100,357582,232
2020-11-01,Nordrhein-Westfalen,17932651,21.60,34112,526
2020-11-01,Bayern,13076721,15.8,70542,185
2020-11-01,Baden-Württemberg,11069533,13.3,35748,310
2020-11-01,Niedersachsen,7982448,9.6,47710,167
2020-11-01,Hessen,6265809,7.5,21116,297
2020-11-01,Rheinland-Pfalz,4084844,4.9,19858,206
2020-11-01,Sachsen,4077937,4.9,18450,221
2020-11-01,Berlin,3644826,4.4,891,4090
2020-11-01,Schleswig-Holstein,2896712,3.5,15804,183
2020-11-01,Brandenburg,2511917,3,29654,85
2020-11-01,Sachsen-Anhalt,2208321,2.7,20454,109
2020-11-01,Thüringen,2143145,2.6,16202,132
2020-11-01,Hamburg,1841179,2.2,755,2438
2020-11-01,Mecklenburg-Vorpommern,1609675,1.9,23295,69
2020-11-01,Saarland,990509,1.2,2571,385
2020-11-01,Bremen,682986,0.8,419,1629
2020-11-01,Deutschland,83019213,100,357582,232
2020-11-08,Nordrhein-Westfalen,17932651,21.60,34112,526
2020-11-08,Bayern,13076721,15.8,70542,185
2020-11-08,Baden-Württemberg,11069533,13.3,35748,310
2020-11-08,Niedersachsen,7982448,9.6,47710,167
2020-11-08,Hessen,6265809,7.5,21116,297
2020-11-08,Rheinland-Pfalz,4084844,4.9,19858,206
2020-11-08,Sachsen,4077937,4.9,18450,221
2020-11-08,Berlin,3644826,4.4,891,4090
2020-11-08,Schleswig-Holstein,2896712,3.5,15804,183
2020-11-08,Brandenburg,2511917,3,29654,85
2020-11-08,Sachsen-Anhalt,2208321,2.7,20454,109
2020-11-08,Thüringen,2143145,2.6,16202,132
2020-11-08,Hamburg,1841179,2.2,755,2438
2020-11-08,Mecklenburg-Vorpommern,1609675,1.9,23295,69
2020-11-08,Saarland,990509,1.2,2571,385
2020-11-08,Bremen,682986,0.8,419,1629
2020-11-08,Deutschland,83019213,100,357582,232
2020-11-15,Nordrhein-Westfalen,17932651,21.60,34112,526
2020-11-15,Bayern,13076721,15.8,70542,185
2020-11-15,Baden-Württemberg,11069533,13.3,35748,310
2020-11-15,Niedersachsen,7982448,9.6,47710,167
2020-11-15,Hessen,6265809,7.5,21116,297
2020-11-15,Rheinland-Pfalz,4084844,4.9,19858,206
2020-11-15,Sachsen,4077937,4.9,18450,221
2020-11-15,Berlin,3644826,4.4,891,4090
2020-11-15,Schleswig-Holstein,2896712,3.5,15804,183
2020-11-15,Brandenburg,2511917,3,29654,85
2020-11-15,Sachsen-Anhalt,2208321,2.7,20454,109
2020-11-15,Thüringen,2143145,2.6,16202,132
2020-11-15,Hamburg,1841179,2.2,755,2438
2020-11-15,Mecklenburg-Vorpommern,1609675,1.9,23295,69
2020-11-15,Saarland,990509,1.2,2571,385
2020-11-15,Bremen,682986,0.8,419,1629
2020-11-15,Deutschland,83019213,100,357582,232
2020-11-22,Nordrhein-Westfalen,17932651,21.60,34112,526
2020-11-22,Bayern,13076721,15.8,70542,185
2020-11-22,Baden-Württemberg,11069533,13.3,35748,310
2020-11-22,Niedersachsen,7982448,9.6,47710,167
2020-11-22,Hessen,6265809,7.5,21116,297
2020-11-22,Rheinland-Pfalz,4084844,4.9,19858,206
2020-11-22,Sachsen,4077937,4.9,18450,221
2020-11-22,Berlin,3644826,4.4,891,4090
2020-11-22,Schleswig-Holstein,2896712,3.5,15804,183
2020-11-22,Brandenburg,2511917,3,29654,85
2020-11-22,Sachsen-Anhalt,2208321,2.7,20454,109
2020-11-22,Thüringen,2143145,2.6,16202,132
2020-11-22,Hamburg,1841179,2.2,755,2438
2020-11-22,Mecklenburg-Vorpommern,1609675,1.9,23295,69
2020-11-22,Saarland,990509,1.2,2571,385
2020-11-22,Bremen,682986,0.8,419,1629
2020-11-22,Deutschland,83019213,100,357582,232
2020-11-29,Nordrhein-Westfalen,17932651,21.60,34112,526
2020-11-29,Bayern,13076721,15.8,70542,185
2020-11-29,Baden-Württemberg,11069533,13.3,35748,310
2020-11-29,Niedersachsen,7982448,9.6,47710,167
2020-11-29,Hessen,6265809,7.5,21116,297
2020-11-29,Rheinland-Pfalz,4084844,4.9,19858,206
2020-11-29,Sachsen,4077937,4.9,18450,221
2020-11-29,Berlin,3644826,4.4,891,4090
2020-11-29,Schleswig-Holstein,2896712,3.5,15804,183
2020-11-29,Brandenburg,2511917,3,29654,85
2020-11-29,Sachsen-Anhalt,2208321,2.7,20454,109
2020-11-29,Thüringen,2143145,2.6,16202,132
2020-11-29,Hamburg,1841179,2.2,755,2438
2020-11-29,Mecklenburg-Vorpommern,1609675,1.9,23295,69
2020-11-29,Saarland,990509,1.2,2571,385
2020-11-29,Bremen,682986,0.8,419,1629
2020-11-29,Deutschland,83019213,100,357582,232
2020-12-06,Nordrhein-Westfalen,17932651,21.60,34112,526
2020-12-06,Bayern,13076721,15.8,70542,185
2020-12-06,Baden-Württemberg,11069533,13.3,35748,310
2020-12-06,Niedersachsen,7982448,9.6,47710,167
2020-12-06,Hessen,6265809,7.5,21116,297
2020-12-06,Rheinland-Pfalz,4084844,4.9,19858,206
2020-12-06,Sachsen,4077937,4.9,18450,221
2020-12-06,Berlin,3644826,4.4,891,4090
2020-12-06,Schleswig-Holstein,2896712,3.5,15804,183
2020-12-06,Brandenburg,2511917,3,29654,85
2020-12-06,Sachsen-Anhalt,2208321,2.7,20454,109
2020-12-06,Thüringen,2143145,2.6,16202,132
2020-12-06,Hamburg,1841179,2.2,755,2438
2020-12-06,Mecklenburg-Vorpommern,1609675,1.9,23295,69
2020-12-06,Saarland,990509,1.2,2571,385
2020-12-06,Bremen,682986,0.8,419,1629
2020-12-06,Deutschland,83019213,100,357582,232
2020-12-13,Nordrhein-Westfalen,17932651,21.60,34112,526
2020-12-13,Bayern,13076721,15.8,70542,185
2020-12-13,Baden-Württemberg,11069533,13.3,35748,310
2020-12-13,Niedersachsen,7982448,9.6,47710,167
2020-12-13,Hessen,6265809,7.5,21116,297
2020-12-13,Rheinland-Pfalz,4084844,4.9,19858,206
2020-12-13,Sachsen,4077937,4.9,18450,221
2020-12-13,Berlin,3644826,4.4,891,4090
2020-12-13,Schleswig-Holstein,2896712,3.5,15804,183
2020-12-13,Brandenburg,2511917,3,29654,85
2020-12-13,Sachsen-Anhalt,2208321,2.7,20454,109
2020-12-13,Thüringen,2143145,2.6,16202,132
2020-12-13,Hamburg,1841179,2.2,755,2438
2020-12-13,Mecklenburg-Vorpommern,1609675,1.9,23295,69
2020-12-13,Saarland,990509,1.2,2571,385
2020-12-13,Bremen,682986,0.8,419,1629
2020-12-13,Deutschland,83019213,100,357582,232
2020-12-20,Nordrhein-Westfalen,17932651,21.60,34112,526
2020-12-20,Bayern,13076721,15.8,70542,185
2020-12-20,Baden-Württemberg,11069533,13.3,35748,310
2020-12-20,Niedersachsen,7982448,9.6,47710,167
2020-12-20,Hessen,6265809,7.5,21116,297
2020-12-20,Rheinland-Pfalz,4084844,4.9,19858,206
2020-12-20,Sachsen,4077937,4.9,18450,221
2020-12-20,Berlin,3644826,4.4,891,4090
2020-12-20,Schleswig-Holstein,2896712,3.5,15804,183
2020-12-20,Brandenburg,2511917,3,29654,85
2020-12-20,Sachsen-Anhalt,2208321,2.7,20454,109
2020-12-20,Thüringen,2143145,2.6,16202,132
2020-12-20,Hamburg,1841179,2.2,755,2438
2020-12-20,Mecklenburg-Vorpommern,1609675,1.9,23295,69
2020-12-20,Saarland,990509,1.2,2571,385
2020-12-20,Bremen,682986,0.8,419,1629
2020-12-20,Deutschland,83019213,100,357582,232
2020-12-27,Nordrhein-Westfalen,17932651,21.60,34112,526
2020-12-27,Bayern,13076721,15.8,70542,185
2020-12-27,Baden-Württemberg,11069533,13.3,35748,310
2020-12-27,Niedersachsen,7982448,9.6,47710,167
2020-12-27,Hessen,6265809,7.5,21116,297
2020-12-27,Rheinland-Pfalz,4084844,4.9,19858,206
2020-12-27,Sachsen,4077937,4.9,18450,221
2020-12-27,Berlin,3644826,4.4,891,4090
2020-12-27,Schleswig-Holstein,2896712,3.5,15804,183
2020-12-27,Brandenburg,2511917,3,29654,85
2020-12-27,Sachsen-Anhalt,2208321,2.7,20454,109
2020-12-27,Thüringen,2143145,2.6,16202,132
2020-12-27,Hamburg,1841179,2.2,755,2438
2020-12-27,Mecklenburg-Vorpommern,1609675,1.9,23295,69
2020-12-27,Saarland,990509,1.2,2571,385
2020-12-27,Bremen,682986,0.8,419,1629
2020-12-27,Deutschland,83019213,100,357582,232
2020-12-31,Nordrhein-Westfalen,17932651,21.60,34112,526
2020-12-31,Bayern,13076721,15.8,70542,185
2020-12-31,Baden-Württemberg,11069533,13.3,35748,310
2020-12-31,Niedersachsen,7982448,9.6,47710,167
2020-12-31,Hessen,6265809,7.5,21116,297
2020-12-31,Rheinland-Pfalz,4084844,4.9,19858,206
2020-12-31,Sachsen,4077937,4.9,18450,221
2020-12-31,Berlin,3644826,4.4,891,4090
2020-12-31,Schleswig-Holstein,2896712,3.5,15804,183
2020-12-31,Brandenburg,2511917,3,29654,85
2020-12-31,Sachsen-Anhalt,2208321,2.7,20454,109
2020-12-31,Thüringen,2143145,2.6,16202,132
2020-12-31,Hamburg,1841179,2.2,755,2438
2020-12-31,Mecklenburg-Vorpommern,1609675,1.9,23295,69
2020-12-31,Saarland,990509,1.2,2571,385
2020-12-31,Bremen,682986,0.8,419,1629
2020-12-31,Deutschland,83019213,100,357582,232
