date;BundeslandID;outOfHomeDuration;percentageChangeComparedToBeforeCorona
20200508;Bremen;7.09;-12
20200508;Thüringen;7.59;-4
20200508;Saarland;6.83;-11
20200508;Sachsen-Anhalt;7.59;-2
20200508;Rheinland-Pfalz;7.41;-11
20200508;Schleswig-Holstein;7.03;-7
20200515;Baden-Württemberg;6.95;-13
20200515;Hessen;6.91;-14
20200515;Berlin;6.0600000000000005;-22
20200515;Brandenburg;6.890000000000001;-7
20200515;Sachsen;6.93;-9
20200515;Bayern;6.97;-13
20200515;Nordrhein-Westfalen;6.49;-14
20200515;Hamburg;6.09;-19
20200515;Mecklenburg-Vorpommern;7.5;-5
20200515;Niedersachsen;6.99;-12
20200515;Deutschland;6.84;-13
20200515;Bremen;6.69;-17
20200515;Thüringen;7.390000000000001;-6
20200515;Saarland;6.84;-11
20200515;Sachsen-Anhalt;7.32;-6
20200515;Rheinland-Pfalz;7.44;-10
20200515;Schleswig-Holstein;6.73;-11
20200522;Baden-Württemberg;7.2700000000000005;12
20200522;Hessen;7.28;13
20200522;Berlin;6.33;19
20200522;Brandenburg;7.12;16
20200522;Sachsen;7.3500000000000005;18
20200522;Bayern;7.24;14
20200522;Nordrhein-Westfalen;6.74;12
20200522;Hamburg;6.3500000000000005;17
20200522;Mecklenburg-Vorpommern;7.72;12
20200522;Niedersachsen;7.17;13
20200522;Deutschland;6.82;-13
20200522;Bremen;6.97;14
20200522;Thüringen;7.68;13
20200522;Saarland;7.0200000000000005;14
20200522;Sachsen-Anhalt;7.37;11
20200522;Rheinland-Pfalz;7.7;12
20200522;Schleswig-Holstein;6.92;12
20200529;Baden-Württemberg;7.41;-7
20200529;Hessen;7.42;-8
20200529;Berlin;6.71;-14
20200529;Brandenburg;7.28;-2
20200529;Sachsen;7.42;-3
20200529;Bayern;7.390000000000001;-8
20200529;Nordrhein-Westfalen;6.92;-8
20200529;Hamburg;6.72;-11
20200529;Mecklenburg-Vorpommern;8.13;3
20200529;Niedersachsen;7.42;-6
20200529;Deutschland;7.3;-7
20200529;Bremen;7.32;-9
20200529;Thüringen;7.8;-1
20200529;Saarland;7.26;-6
20200529;Sachsen-Anhalt;7.5200000000000005;-3
20200529;Rheinland-Pfalz;7.83;-6
20200529;Schleswig-Holstein;7.2700000000000005;-4
20200605;Baden-Württemberg;7.38;-8
20200605;Hessen;7.45;-8
20200605;Berlin;6.9;-12
20200605;Brandenburg;7.46;1
20200605;Sachsen;7.58;-1
20200605;Bayern;7.45;-7
20200605;Nordrhein-Westfalen;6.87;-9
20200605;Hamburg;6.76;-10
20200605;Mecklenburg-Vorpommern;8.3;5
20200605;Niedersachsen;7.390000000000001;-7
20200605;Deutschland;7.05;-10
20200605;Bremen;7.29;-9
20200605;Thüringen;7.84;-1
20200605;Saarland;7.3100000000000005;-5
20200605;Sachsen-Anhalt;7.79;0
20200605;Rheinland-Pfalz;7.9;-5
20200605;Schleswig-Holstein;7.36;-3
20200612;Baden-Württemberg;7.51;-6
20200612;Hessen;7.55;-6
20200612;Berlin;7.21;-7
20200612;Brandenburg;7.46;1
20200612;Sachsen;7.67;0
20200612;Bayern;7.5;-7
