,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
risk_R[18],0.5,0.01,0.48,0.52,0.0,0.0,3988.96,2818.99,1.0
risk_R[19],0.51,0.01,0.49,0.51,0.0,0.0,3877.63,2772.38,1.0
risk_R[20],0.51,0.0,0.5,0.52,0.0,0.0,4073.81,2769.88,1.0
risk_R[21],0.48,0.02,0.45,0.51,0.0,0.0,4364.14,3078.3,1.0
risk_R[22],0.44,0.01,0.42,0.47,0.0,0.0,4770.29,2467.79,1.0
risk_R[23],0.44,0.01,0.42,0.45,0.0,0.0,3553.13,2791.83,1.0
risk_R[24],0.46,0.01,0.44,0.48,0.0,0.0,4112.54,2960.84,1.0
risk_R[25],0.47,0.01,0.46,0.48,0.0,0.0,3748.68,2787.22,1.0
risk_R[26],0.47,0.0,0.47,0.48,0.0,0.0,4070.46,3001.39,1.0
risk_R[27],0.51,0.02,0.47,0.53,0.0,0.0,4462.14,2826.44,1.0
risk_R[28],0.56,0.02,0.52,0.6,0.0,0.0,4820.0,2596.14,1.0
risk_R[29],0.61,0.02,0.57,0.64,0.0,0.0,4746.61,2468.73,1.0
risk_R[30],0.63,0.01,0.61,0.65,0.0,0.0,4825.08,2812.83,1.0
risk_R[31],0.58,0.03,0.55,0.64,0.0,0.0,4163.34,2764.73,1.0
risk_R[32],0.51,0.03,0.46,0.57,0.0,0.0,4788.52,2595.72,1.0
risk_R[33],0.47,0.02,0.43,0.5,0.0,0.0,4489.53,2796.56,1.0
risk_R[34],0.44,0.01,0.42,0.47,0.0,0.0,4859.57,2718.9,1.0
risk_R[35],0.42,0.01,0.41,0.44,0.0,0.0,5104.11,2652.39,1.0
risk_R[36],0.45,0.02,0.42,0.47,0.0,0.0,4175.47,2774.22,1.0
d_R[0],0.93,0.02,0.89,0.96,0.0,0.0,3197.11,2365.52,1.0
d_R[1],0.94,0.02,0.91,0.97,0.0,0.0,3160.0,2309.11,1.0
d_R[2],0.95,0.01,0.93,0.97,0.0,0.0,3127.55,2351.81,1.0
d_R[3],0.96,0.01,0.94,0.98,0.0,0.0,3109.42,2413.21,1.0
d_R[4],0.96,0.01,0.94,0.98,0.0,0.0,3074.89,2528.18,1.0
d_R[5],0.96,0.01,0.94,0.98,0.0,0.0,3035.76,2431.14,1.0
d_R[6],0.96,0.01,0.94,0.98,0.0,0.0,3022.82,2396.65,1.0
d_R[7],0.96,0.01,0.94,0.98,0.0,0.0,2991.92,2281.86,1.0
d_R[8],0.96,0.01,0.94,0.98,0.0,0.0,2977.48,2292.22,1.0
d_R[9],0.96,0.01,0.94,0.98,0.0,0.0,2984.39,2323.61,1.0
d_R[10],0.96,0.01,0.93,0.98,0.0,0.0,2981.85,2267.95,1.0
d_R[11],0.95,0.01,0.93,0.97,0.0,0.0,2998.86,2345.22,1.0
d_R[12],0.94,0.02,0.91,0.97,0.0,0.0,3030.72,2393.26,1.0
d_R[13],0.95,0.01,0.92,0.97,0.0,0.0,2961.9,2281.83,1.0
d_R[14],0.95,0.01,0.93,0.97,0.0,0.0,3010.54,2281.7,1.0
d_R[15],0.95,0.01,0.93,0.97,0.0,0.0,2990.74,2366.37,1.0
d_R[16],0.94,0.01,0.92,0.97,0.0,0.0,3002.15,2407.99,1.0
d_R[17],0.94,0.02,0.91,0.97,0.0,0.0,2956.05,2357.94,1.0
d_R[18],0.94,0.02,0.91,0.97,0.0,0.0,2951.49,2289.92,1.0
d_R[19],0.94,0.02,0.91,0.97,0.0,0.0,2968.59,2281.42,1.0
d_R[20],0.94,0.02,0.91,0.97,0.0,0.0,2962.33,2251.35,1.0
d_R[21],0.94,0.01,0.92,0.97,0.0,0.0,2972.82,2196.89,1.0
d_R[22],0.95,0.01,0.92,0.97,0.0,0.0,3000.11,2290.78,1.0
d_R[23],0.95,0.01,0.92,0.97,0.0,0.0,2993.72,2390.41,1.0
d_R[24],0.94,0.01,0.92,0.97,0.0,0.0,2989.27,2281.61,1.0
d_R[25],0.94,0.01,0.92,0.97,0.0,0.0,2962.77,2334.57,1.0
d_R[26],0.94,0.01,0.92,0.97,0.0,0.0,2968.73,2278.62,1.0
d_R[27],0.94,0.02,0.91,0.97,0.0,0.0,2987.88,2306.63,1.0
d_R[28],0.93,0.02,0.9,0.96,0.0,0.0,2978.24,2301.91,1.0
d_R[29],0.93,0.02,0.89,0.96,0.0,0.0,2955.46,2329.14,1.0
d_R[30],0.92,0.02,0.89,0.96,0.0,0.0,2953.14,2331.39,1.0
d_R[31],0.93,0.02,0.9,0.96,0.0,0.0,2972.51,2356.51,1.0
d_R[32],0.94,0.02,0.91,0.97,0.0,0.0,3023.81,2258.84,1.0
d_R[33],0.94,0.01,0.92,0.97,0.0,0.0,3021.4,2330.71,1.0
d_R[34],0.95,0.01,0.92,0.97,0.0,0.0,3012.08,2304.5,1.0
d_R[35],0.95,0.01,0.92,0.97,0.0,0.0,3004.28,2355.35,1.0
d_R[36],0.94,0.01,0.92,0.97,0.0,0.0,3016.17,2367.19,1.0
risk_C[0],0.41,0.02,0.37,0.44,0.0,0.0,4095.53,2940.21,1.0
risk_C[1],0.46,0.02,0.42,0.5,0.0,0.0,3876.48,3148.34,1.0
risk_C[2],0.5,0.02,0.47,0.53,0.0,0.0,3923.66,2917.5,1.0
risk_C[3],0.49,0.01,0.47,0.51,0.0,0.0,4467.77,2653.05,1.0
risk_C[4],0.46,0.01,0.44,0.49,0.0,0.0,4170.61,3034.23,1.0
risk_C[5],0.43,0.01,0.41,0.46,0.0,0.0,3938.09,3171.14,1.0
risk_C[6],0.4,0.01,0.38,0.43,0.0,0.0,3905.86,2961.66,1.0
risk_C[7],0.39,0.01,0.37,0.4,0.0,0.0,4083.1,3088.31,1.0
risk_C[8],0.37,0.01,0.36,0.39,0.0,0.0,4287.44,3180.96,1.0
risk_C[9],0.36,0.01,0.35,0.37,0.0,0.0,4212.13,2729.43,1.0
risk_C[10],0.36,0.0,0.35,0.37,0.0,0.0,4251.84,2616.65,1.0
risk_C[11],0.35,0.0,0.35,0.36,0.0,0.0,4034.13,2523.98,1.0
risk_C[12],0.35,0.0,0.35,0.35,0.0,0.0,4664.47,2543.62,1.0
risk_C[13],0.35,0.0,0.35,0.36,0.0,0.0,4544.33,2318.65,1.0
risk_C[14],0.35,0.0,0.35,0.35,0.0,0.0,2676.88,2333.14,1.0
risk_C[15],0.35,0.0,0.35,0.35,0.0,0.0,2715.34,2179.7,1.0
risk_C[16],0.35,0.0,0.35,0.35,0.0,0.0,3310.56,2276.22,1.0
risk_C[17],0.35,0.0,0.35,0.35,0.0,0.0,4713.43,2144.74,1.0
risk_C[18],0.35,0.0,0.35,0.35,0.0,0.0,4003.38,2243.89,1.0
risk_C[19],0.35,0.0,0.35,0.36,0.0,0.0,3918.34,3089.83,1.0
risk_C[20],0.36,0.0,0.36,0.36,0.0,0.0,3920.47,3093.94,1.0
risk_C[21],0.37,0.0,0.36,0.37,0.0,0.0,3772.67,3070.05,1.0
risk_C[22],0.37,0.0,0.37,0.38,0.0,0.0,3745.69,3174.8,1.0
risk_C[23],0.38,0.0,0.37,0.38,0.0,0.0,4372.64,2828.27,1.0
risk_C[24],0.38,0.0,0.37,0.38,0.0,0.0,5122.88,2562.96,1.0
risk_C[25],0.38,0.0,0.38,0.38,0.0,0.0,3258.72,2795.41,1.0
risk_C[26],0.39,0.0,0.38,0.39,0.0,0.0,3282.23,3116.29,1.0
risk_C[27],0.4,0.0,0.39,0.4,0.0,0.0,3531.35,2986.67,1.0
risk_C[28],0.41,0.01,0.4,0.42,0.0,0.0,3469.02,3167.68,1.0
risk_C[29],0.45,0.01,0.42,0.47,0.0,0.0,3481.66,3116.2,1.0
risk_C[30],0.51,0.03,0.46,0.56,0.0,0.0,3526.66,3079.81,1.0
risk_C[31],0.62,0.04,0.54,0.71,0.0,0.0,3544.26,3121.02,1.0
risk_C[32],0.74,0.05,0.64,0.83,0.0,0.0,3610.2,3163.3,1.0
risk_C[33],0.82,0.04,0.74,0.89,0.0,0.0,3899.29,2857.55,1.0
risk_C[34],0.86,0.03,0.8,0.91,0.0,0.0,4389.76,2675.69,1.0
risk_C[35],0.88,0.03,0.84,0.91,0.0,0.0,4964.72,2592.04,1.0
risk_C[36],0.89,0.02,0.86,0.91,0.0,0.0,5491.95,2460.78,1.0
d_C[0],0.96,0.01,0.94,0.98,0.0,0.0,3803.16,2980.09,1.0
d_C[1],0.96,0.01,0.94,0.98,0.0,0.0,3769.56,2960.83,1.0
d_C[2],0.96,0.01,0.93,0.98,0.0,0.0,3785.28,2962.2,1.0
d_C[3],0.96,0.01,0.93,0.98,0.0,0.0,3828.42,3035.22,1.0
d_C[4],0.96,0.01,0.94,0.98,0.0,0.0,3880.69,2966.58,1.0
d_C[5],0.96,0.01,0.94,0.98,0.0,0.0,3913.25,2807.44,1.0
d_C[6],0.96,0.01,0.94,0.98,0.0,0.0,3920.65,2860.0,1.0
d_C[7],0.97,0.01,0.95,0.98,0.0,0.0,3915.3,2903.76,1.0
d_C[8],0.97,0.01,0.95,0.98,0.0,0.0,3905.37,2943.07,1.0
d_C[9],0.97,0.01,0.95,0.98,0.0,0.0,3896.75,2931.08,1.0
d_C[10],0.97,0.01,0.95,0.98,0.0,0.0,3889.41,2931.14,1.0
d_C[11],0.97,0.01,0.95,0.98,0.0,0.0,3882.31,2954.43,1.0
d_C[12],0.97,0.01,0.95,0.98,0.0,0.0,3877.35,2992.23,1.0
d_C[13],0.97,0.01,0.95,0.98,0.0,0.0,3869.6,2945.96,1.0
d_C[14],0.97,0.01,0.95,0.98,0.0,0.0,3865.16,2992.19,1.0
d_C[15],0.97,0.01,0.95,0.98,0.0,0.0,3867.9,3018.16,1.0
d_C[16],0.97,0.01,0.95,0.98,0.0,0.0,3868.1,2993.83,1.0
d_C[17],0.97,0.01,0.95,0.98,0.0,0.0,3866.27,2989.38,1.0
d_C[18],0.97,0.01,0.95,0.98,0.0,0.0,3861.34,2909.25,1.0
d_C[19],0.97,0.01,0.95,0.98,0.0,0.0,3855.26,2909.25,1.0
d_C[20],0.97,0.01,0.95,0.98,0.0,0.0,3849.53,2908.79,1.0
d_C[21],0.97,0.01,0.95,0.98,0.0,0.0,3842.59,2955.39,1.0
d_C[22],0.97,0.01,0.95,0.98,0.0,0.0,3840.6,2955.6,1.0
d_C[23],0.97,0.01,0.95,0.98,0.0,0.0,3847.31,2971.4,1.0
d_C[24],0.97,0.01,0.95,0.98,0.0,0.0,3855.01,2994.81,1.0
d_C[25],0.97,0.01,0.95,0.98,0.0,0.0,3854.04,2978.1,1.0
d_C[26],0.96,0.01,0.95,0.98,0.0,0.0,3844.12,2955.39,1.0
