date;BundeslandID;outOfHomeDuration;percentageChangeComparedToBeforeCorona
20200308;Baden-Württemberg;6.1000000000000005;0
20200308;Hessen;6.09;0
20200308;Berlin;5.71;0
20200308;Brandenburg;5.41;0
20200308;Sachsen;5.54;0
20200308;Bayern;6.13;0
20200308;Nordrhein-Westfalen;5.65;0
20200308;Hamburg;5.76;0
20200308;Mecklenburg-Vorpommern;6.2700000000000005;0
20200308;Niedersachsen;6.04;0
20200308;Deutschland;5.91;0
20200308;Bremen;5.96;0
20200308;Thüringen;5.8100000000000005;0
20200308;Saarland;5.74;0
20200308;Sachsen-Anhalt;5.64;0
20200308;Rheinland-Pfalz;6.3500000000000005;0
20200308;Schleswig-Holstein;5.8500000000000005;0
20200315;Baden-Württemberg;5.64;-8
20200315;Hessen;5.78;-5
20200315;Berlin;5.07;-11
20200315;Brandenburg;5.14;-5
20200315;Sachsen;5.22;-6
20200315;Bayern;5.71;-7
20200315;Nordrhein-Westfalen;5.33;-6
20200315;Hamburg;5.04;-12
20200315;Mecklenburg-Vorpommern;6.03;-4
20200315;Niedersachsen;5.5600000000000005;-8
20200315;Deutschland;5.5200000000000005;-7
20200315;Bremen;5.3500000000000005;-10
20200315;Thüringen;5.6000000000000005;-4
20200315;Saarland;5.47;-5
20200315;Sachsen-Anhalt;5.42;-4
20200315;Rheinland-Pfalz;6.05;-5
20200315;Schleswig-Holstein;5.36;-8
20200322;Baden-Württemberg;4.28;-30
20200322;Hessen;4.53;-26
20200322;Berlin;3.74;-34
20200322;Brandenburg;4.19;-23
20200322;Sachsen;4.13;-25
20200322;Bayern;3.93;-36
20200322;Nordrhein-Westfalen;4.22;-25
20200322;Hamburg;3.63;-37
20200322;Mecklenburg-Vorpommern;4.91;-22
20200322;Niedersachsen;4.49;-26
20200322;Deutschland;4.26;-28
20200322;Bremen;4.0600000000000005;-32
20200322;Thüringen;4.58;-21
20200322;Saarland;4.16;-27
20200322;Sachsen-Anhalt;4.54;-20
20200322;Rheinland-Pfalz;4.75;-25
20200322;Schleswig-Holstein;4.39;-25
20200329;Baden-Württemberg;4.13;-32
20200329;Hessen;4.29;-30
20200329;Berlin;3.37;-41
20200329;Brandenburg;3.89;-28
20200329;Sachsen;3.81;-31
20200329;Bayern;4.01;-35
20200329;Nordrhein-Westfalen;3.86;-32
20200329;Hamburg;3.37;-41
20200329;Mecklenburg-Vorpommern;4.69;-25
20200329;Niedersachsen;4.15;-31
20200329;Deutschland;4.03;-32
20200329;Bremen;3.74;-37
20200329;Thüringen;4.34;-25
20200329;Saarland;4.15;-28
20200329;Sachsen-Anhalt;4.21;-25
20200329;Rheinland-Pfalz;4.5600000000000005;-28
20200329;Schleswig-Holstein;4.11;-30
20200405;Baden-Württemberg;4.84;-21
20200405;Hessen;4.82;-21
20200405;Berlin;4.05;-29
20200405;Brandenburg;4.41;-18
20200405;Sachsen;4.33;-22
20200405;Bayern;4.53;-26
20200405;Nordrhein-Westfalen;4.39;-22
20200405;Hamburg;3.91;-32
20200405;Mecklenburg-Vorpommern;5.32;-15
20200405;Niedersachsen;4.79;-21
20200405;Deutschland;4.61;-22
20200405;Bremen;4.41;-26
20200405;Thüringen;5.04;-13
20200405;Saarland;4.49;-22
20200405;Sachsen-Anhalt;4.83;-14
20200405;Rheinland-Pfalz;5.18;-18
20200405;Schleswig-Holstein;4.59;-21
20200412;Baden-Württemberg;5.01;-18
20200412;Hessen;5.0;-18
20200412;Berlin;4.48;-22
20200412;Brandenburg;4.73;-13
20200412;Sachsen;4.71;-15
20200412;Bayern;4.73;-23
20200412;Nordrhein-Westfalen;4.65;-18
20200412;Hamburg;4.32;-25
20200412;Mecklenburg-Vorpommern;5.68;-9
20200412;Niedersachsen;5.1000000000000005;-16
20200412;Deutschland;4.88;-17
20200412;Bremen;4.9;-18
20200412;Thüringen;5.3500000000000005;-8
20200412;Saarland;4.67;-19
20200412;Sachsen-Anhalt;5.2700000000000005;-7
20200412;Rheinland-Pfalz;5.3500000000000005;-16
20200412;Schleswig-Holstein;4.96;-15
20200419;Baden-Württemberg;5.0600000000000005;-17
20200419;Hessen;4.97;-19
20200419;Berlin;4.37;-23
20200419;Brandenburg;4.79;-11
20200419;Sachsen;4.65;-16
20200419;Bayern;4.73;-23
20200419;Nordrhein-Westfalen;4.5200000000000005;-20
20200419;Hamburg;4.3;-25
20200419;Mecklenburg-Vorpommern;5.67;-10
20200419;Niedersachsen;5.05;-16
20200419;Deutschland;4.83;-18
20200419;Bremen;4.86;-18
20200419;Thüringen;5.3100000000000005;-9
20200419;Saarland;4.76;-17
20200419;Sachsen-Anhalt;5.17;-8
20200419;Rheinland-Pfalz;5.3100000000000005;-16
20200419;Schleswig-Holstein;4.92;-16
20200426;Baden-Württemberg;5.24;-14
20200426;Hessen;5.23;-14
20200426;Berlin;4.36;-24
20200426;Brandenburg;4.83;-11
20200426;Sachsen;4.8100000000000005;-13
20200426;Bayern;5.04;-18
20200426;Nordrhein-Westfalen;4.76;-16
20200426;Hamburg;4.24;-26
20200426;Mecklenburg-Vorpommern;5.7;-9
20200426;Niedersachsen;5.09;-16
20200426;Deutschland;5.0;-15
20200426;Bremen;4.7;-21
20200426;Thüringen;5.3500000000000005;-8
20200426;Saarland;4.99;-13
20200426;Sachsen-Anhalt;5.15;-9
20200426;Rheinland-Pfalz;5.57;-12
20200426;Schleswig-Holstein;4.8500000000000005;-17
20200503;Baden-Württemberg;5.17;-15
20200503;Hessen;5.1000000000000005;-16
20200503;Berlin;5.05;-12
20200503;Brandenburg;5.28;-2
20200503;Sachsen;5.28;-5
20200503;Bayern;4.98;-19
20200503;Nordrhein-Westfalen;4.69;-17
20200503;Hamburg;5.04;-12
20200503;Mecklenburg-Vorpommern;6.18;-1
20200503;Niedersachsen;5.5600000000000005;-8
20200503;Deutschland;5.15;-13
20200503;Bremen;5.46;-8
20200503;Thüringen;5.66;-3
20200503;Saarland;4.93;-14
20200503;Sachsen-Anhalt;5.62;0
20200503;Rheinland-Pfalz;5.53;-13
20200503;Schleswig-Holstein;5.58;-5
20200510;Baden-Württemberg;5.59;-8
20200510;Hessen;5.46;-10
20200510;Berlin;5.11;-11
20200510;Brandenburg;5.58;3
20200510;Sachsen;5.44;-2
20200510;Bayern;5.54;-10
20200510;Nordrhein-Westfalen;5.09;-10
20200510;Hamburg;5.0200000000000005;-13
20200510;Mecklenburg-Vorpommern;6.44;3
20200510;Niedersachsen;5.66;-6
20200510;Deutschland;5.46;-8
20200510;Bremen;5.46;-8
20200510;Thüringen;5.82;0
20200510;Saarland;5.29;-8
20200510;Sachsen-Anhalt;5.71;1
20200510;Rheinland-Pfalz;5.79;-9
20200510;Schleswig-Holstein;5.59;-4
20200517;Baden-Württemberg;5.76;-6
20200517;Hessen;5.74;-6
20200517;Berlin;5.03;-12
20200517;Brandenburg;5.42;0
20200517;Sachsen;5.49;-1
20200517;Bayern;5.68;-7
20200517;Nordrhein-Westfalen;5.18;-8
20200517;Hamburg;4.86;-16
20200517;Mecklenburg-Vorpommern;6.0200000000000005;-4
20200517;Niedersachsen;5.57;-8
20200517;Deutschland;5.5200000000000005;-7
20200517;Bremen;5.19;-13
20200517;Thüringen;5.86;1
20200517;Saarland;5.46;-5
20200517;Sachsen-Anhalt;5.61;-1
20200517;Rheinland-Pfalz;6.05;-5
20200517;Schleswig-Holstein;5.33;-9
20200524;Baden-Württemberg;5.58;-9
20200524;Hessen;5.63;-8
20200524;Berlin;4.84;-15
20200524;Brandenburg;5.61;4
20200524;Sachsen;5.38;-3
20200524;Bayern;5.53;-10
20200524;Nordrhein-Westfalen;5.15;-9
20200524;Hamburg;4.89;-15
20200524;Mecklenburg-Vorpommern;6.390000000000001;2
20200524;Niedersachsen;5.61;-7
20200524;Deutschland;5.48;-7
20200524;Bremen;5.29;-11
20200524;Thüringen;5.8;0
20200524;Saarland;5.36;-7
20200524;Sachsen-Anhalt;5.58;-1
20200524;Rheinland-Pfalz;6.04;-5
20200524;Schleswig-Holstein;5.7;-2
20200531;Baden-Württemberg;6.28;3
20200531;Hessen;6.2;2
20200531;Berlin;5.75;1
20200531;Brandenburg;5.97;10
20200531;Sachsen;5.91;7
20200531;Bayern;6.03;-2
20200531;Nordrhein-Westfalen;5.78;2
20200531;Hamburg;5.75;0
20200531;Mecklenburg-Vorpommern;7.59;21
20200531;Niedersachsen;6.16;2
20200531;Deutschland;6.09;3
20200531;Bremen;6.0600000000000005;2
20200531;Thüringen;6.3100000000000005;9
20200531;Saarland;5.9;3
20200531;Sachsen-Anhalt;6.2;10
20200531;Rheinland-Pfalz;6.57;4
20200531;Schleswig-Holstein;6.24;7
20200607;Baden-Württemberg;5.71;-7
20200607;Hessen;5.8;-5
20200607;Berlin;5.39;-6
