,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
risk_C[28],0.31,0.18,0.0,0.42,0.09,0.07,7.77,4.17,1.53
risk_C[29],0.33,0.19,0.0,0.47,0.09,0.07,7.79,4.17,1.53
risk_C[30],0.38,0.22,0.0,0.56,0.11,0.08,7.79,4.17,1.53
risk_C[31],0.47,0.27,0.0,0.7,0.13,0.1,7.79,4.17,1.53
risk_C[32],0.55,0.32,0.0,0.82,0.16,0.12,7.75,4.17,1.53
risk_C[33],0.6,0.35,0.0,0.88,0.17,0.13,7.68,4.17,1.53
risk_C[34],0.63,0.37,0.0,0.9,0.18,0.14,7.59,4.17,1.53
risk_C[35],0.65,0.38,0.0,0.91,0.18,0.14,7.53,4.17,1.53
risk_C[36],0.66,0.38,0.0,0.91,0.19,0.14,7.56,4.17,1.54
d_C[0],0.9,0.06,0.85,1.0,0.03,0.02,7.58,501.43,1.53
d_C[1],0.89,0.07,0.84,1.0,0.03,0.02,7.54,577.15,1.53
d_C[2],0.88,0.07,0.83,1.0,0.03,0.03,7.57,488.32,1.53
d_C[3],0.88,0.07,0.83,1.0,0.03,0.03,7.6,518.78,1.53
d_C[4],0.89,0.06,0.84,1.0,0.03,0.02,7.62,479.17,1.54
d_C[5],0.9,0.06,0.84,1.0,0.03,0.02,7.59,480.56,1.54
d_C[6],0.9,0.06,0.85,1.0,0.03,0.02,7.59,510.2,1.54
d_C[7],0.91,0.06,0.86,1.0,0.03,0.02,7.63,465.25,1.54
d_C[8],0.91,0.05,0.86,1.0,0.03,0.02,7.67,465.69,1.53
d_C[9],0.91,0.05,0.87,1.0,0.03,0.02,7.67,465.75,1.53
d_C[10],0.91,0.05,0.87,1.0,0.02,0.02,7.69,498.45,1.53
d_C[11],0.91,0.05,0.87,1.0,0.02,0.02,7.69,498.45,1.53
d_C[12],0.91,0.05,0.87,1.0,0.02,0.02,7.7,498.45,1.53
d_C[13],0.91,0.05,0.87,1.0,0.02,0.02,7.7,498.45,1.53
d_C[14],0.91,0.05,0.87,1.0,0.02,0.02,7.69,515.91,1.53
d_C[15],0.91,0.05,0.87,1.0,0.02,0.02,7.69,515.91,1.53
d_C[16],0.92,0.05,0.87,1.0,0.02,0.02,7.69,402.81,1.53
d_C[17],0.91,0.05,0.87,1.0,0.02,0.02,7.69,393.72,1.53
d_C[18],0.91,0.05,0.87,1.0,0.02,0.02,7.68,497.51,1.53
d_C[19],0.91,0.05,0.87,1.0,0.02,0.02,7.67,498.85,1.53
d_C[20],0.91,0.05,0.87,1.0,0.02,0.02,7.66,512.46,1.53
d_C[21],0.91,0.05,0.87,1.0,0.03,0.02,7.66,512.46,1.53
d_C[22],0.91,0.05,0.87,1.0,0.03,0.02,7.65,499.7,1.53
d_C[23],0.91,0.05,0.87,1.0,0.03,0.02,7.64,534.05,1.53
d_C[24],0.91,0.05,0.86,1.0,0.03,0.02,7.64,534.05,1.53
d_C[25],0.91,0.05,0.86,1.0,0.03,0.02,7.63,516.03,1.53
d_C[26],0.91,0.06,0.86,1.0,0.03,0.02,7.63,513.99,1.53
d_C[27],0.9,0.06,0.86,1.0,0.03,0.02,7.62,516.03,1.53
d_C[28],0.9,0.06,0.86,1.0,0.03,0.02,7.61,533.65,1.53
d_C[29],0.89,0.06,0.84,1.0,0.03,0.02,7.55,556.82,1.53
d_C[30],0.88,0.07,0.82,1.0,0.03,0.03,7.47,577.31,1.53
d_C[31],0.86,0.08,0.79,1.0,0.04,0.03,7.54,503.39,1.53
d_C[32],0.83,0.1,0.75,1.0,0.05,0.04,7.51,503.46,1.53
d_C[33],0.82,0.11,0.73,1.0,0.05,0.04,7.45,486.8,1.54
d_C[34],0.81,0.11,0.73,1.0,0.05,0.04,7.5,447.67,1.53
d_C[35],0.81,0.11,0.72,1.0,0.05,0.04,7.51,433.34,1.53
d_C[36],0.8,0.11,0.72,1.0,0.06,0.04,7.51,424.6,1.54
s[0],0.88,0.13,0.66,0.97,0.06,0.05,7.49,4.17,1.54
s[1],0.88,0.13,0.66,0.97,0.06,0.05,7.49,4.17,1.54
s[2],0.88,0.13,0.66,0.97,0.06,0.05,7.49,4.17,1.54
s[3],0.91,0.1,0.75,0.98,0.05,0.04,7.49,4.17,1.54
s[4],0.91,0.1,0.75,0.98,0.05,0.04,7.49,4.17,1.54
s[5],0.99,0.01,0.96,1.0,0.01,0.01,7.49,4.17,1.54
s[6],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[7],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[8],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[9],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[10],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[11],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[12],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[13],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[14],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[15],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[16],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[17],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[18],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[19],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[20],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[21],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[22],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[23],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[24],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[25],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[26],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[27],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[28],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[29],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[30],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[31],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[32],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[33],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[34],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[35],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[36],0.87,0.13,0.65,0.97,0.06,0.05,7.49,4.17,1.54
f[0],1.05,0.07,1.0,1.17,0.03,0.03,7.59,400.19,1.53
f[1],1.16,0.25,1.01,1.6,0.12,0.09,7.6,511.76,1.53
f[2],1.27,0.44,1.01,2.03,0.21,0.16,7.55,571.5,1.53
f[3],1.38,0.62,1.02,2.46,0.31,0.23,7.52,425.55,1.53
f[4],1.49,0.81,1.02,2.89,0.4,0.3,7.54,658.23,1.53
f[5],1.61,0.99,1.03,3.32,0.49,0.37,7.56,581.14,1.53
f[6],1.72,1.18,1.03,3.75,0.58,0.44,7.58,540.12,1.53
f[7],1.83,1.36,1.04,4.18,0.67,0.51,7.6,542.09,1.53
f[8],1.94,1.54,1.04,4.62,0.76,0.58,7.62,508.24,1.53
f[9],2.05,1.73,1.05,5.05,0.85,0.65,7.64,525.44,1.53
f[10],2.16,1.91,1.05,5.48,0.94,0.72,7.65,545.71,1.53
f[11],2.28,2.1,1.06,5.91,1.03,0.78,7.67,547.27,1.53
f[12],2.39,2.28,1.06,6.34,1.12,0.85,7.68,529.2,1.53
f[13],2.5,2.47,1.07,6.77,1.21,0.92,7.69,529.2,1.53
f[14],2.61,2.65,1.07,7.2,1.3,0.99,7.69,507.43,1.53
f[15],2.72,2.84,1.08,7.63,1.39,1.06,7.7,535.54,1.53
f[16],2.84,3.02,1.08,8.06,1.48,1.13,7.71,490.91,1.53
f[17],2.95,3.21,1.09,8.5,1.57,1.2,7.71,489.6,1.53
f[18],3.06,3.39,1.09,8.93,1.66,1.27,7.71,489.6,1.53
f[19],3.17,3.57,1.1,9.36,1.75,1.34,7.71,555.52,1.53
f[20],3.28,3.76,1.1,9.79,1.84,1.41,7.71,553.62,1.53
f[21],3.4,3.94,1.11,10.22,1.93,1.47,7.72,539.64,1.53
f[22],3.51,4.13,1.11,10.65,2.02,1.54,7.72,604.86,1.53
f[23],3.62,4.31,1.12,11.08,2.11,1.61,7.72,604.86,1.52
f[24],3.73,4.5,1.12,11.51,2.2,1.68,7.72,503.32,1.53
f[25],3.84,4.68,1.13,11.95,2.29,1.75,7.72,503.32,1.52
f[26],3.95,4.87,1.13,12.38,2.38,1.82,7.72,503.32,1.52
f[27],4.07,5.05,1.14,12.81,2.47,1.89,7.71,503.32,1.52
f[28],4.18,5.23,1.14,13.24,2.56,1.96,7.72,503.32,1.52
f[29],4.29,5.42,1.15,13.67,2.65,2.03,7.72,503.32,1.52
f[30],4.4,5.6,1.15,14.1,2.75,2.1,7.72,487.76,1.52
f[31],4.51,5.79,1.16,14.53,2.84,2.16,7.72,510.08,1.52
f[32],4.63,5.97,1.16,14.96,2.93,2.23,7.72,506.75,1.52
f[33],4.74,6.16,1.17,15.39,3.02,2.3,7.72,506.75,1.52
